2025-02-11T08:13:31.717287-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:13:34.425094-05:00 - INFO - n_sampled = 167483, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [1, 7, 0], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 49.745583ms
2025-02-11T08:13:34.538014-05:00 - INFO - n_sampled = 414717, replacement = [Gate { wires: [0, 1, 2], control_func: 8 }, Gate { wires: [0, 1, 4], control_func: 6 }, Gate { wires: [3, 5, 0], control_func: 5 }, Gate { wires: [0, 5, 4], control_func: 10 }], time = 112.909834ms
2025-02-11T08:13:34.545681-05:00 - INFO - n_sampled = 32688, replacement = [Gate { wires: [1, 5, 7], control_func: 15 }, Gate { wires: [0, 2, 1], control_func: 7 }, Gate { wires: [0, 1, 9], control_func: 3 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 7.658666ms
2025-02-11T08:13:34.630224-05:00 - INFO - n_sampled = 316738, replacement = [Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [0, 9, 1], control_func: 0 }, Gate { wires: [3, 0, 9], control_func: 0 }], time = 84.505875ms
2025-02-11T08:13:34.678977-05:00 - INFO - n_sampled = 185978, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 1, 0], control_func: 10 }, Gate { wires: [3, 4, 9], control_func: 3 }, Gate { wires: [7, 3, 8], control_func: 15 }], time = 48.745334ms
2025-02-11T08:13:34.762353-05:00 - INFO - n_sampled = 311301, replacement = [Gate { wires: [6, 7, 0], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 83.365292ms
2025-02-11T08:13:34.792501-05:00 - INFO - n_sampled = 110864, replacement = [Gate { wires: [0, 1, 3], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 9 }, Gate { wires: [0, 2, 1], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 30.115208ms
2025-02-11T08:13:34.830067-05:00 - INFO - n_sampled = 144990, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 1, 2], control_func: 15 }, Gate { wires: [3, 4, 0], control_func: 0 }], time = 37.557208ms
2025-02-11T08:13:34.943195-05:00 - INFO - n_sampled = 413906, replacement = [Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [4, 5, 1], control_func: 15 }, Gate { wires: [5, 2, 0], control_func: 15 }], time = 113.067875ms
2025-02-11T08:13:35.003524-05:00 - INFO - n_sampled = 219757, replacement = [Gate { wires: [0, 2, 1], control_func: 1 }, Gate { wires: [3, 0, 2], control_func: 10 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 2, 5], control_func: 3 }], time = 60.314667ms
2025-02-11T08:13:35.199025-05:00 - INFO - n_sampled = 718597, replacement = [Gate { wires: [2, 9, 0], control_func: 15 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [0, 7, 4], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 195.458291ms
2025-02-11T08:13:35.292431-05:00 - INFO - n_sampled = 374212, replacement = [Gate { wires: [2, 1, 0], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [6, 3, 0], control_func: 15 }], time = 93.385ms
2025-02-11T08:13:35.323868-05:00 - INFO - n_sampled = 87776, replacement = [Gate { wires: [4, 1, 8], control_func: 15 }, Gate { wires: [0, 5, 2], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 31.414084ms
2025-02-11T08:13:35.406224-05:00 - INFO - n_sampled = 306910, replacement = [Gate { wires: [3, 7, 4], control_func: 5 }, Gate { wires: [1, 7, 3], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 9, 0], control_func: 10 }], time = 82.346542ms
2025-02-11T08:13:35.489383-05:00 - INFO - n_sampled = 288047, replacement = [Gate { wires: [0, 1, 2], control_func: 7 }, Gate { wires: [0, 1, 3], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [7, 0, 4], control_func: 15 }], time = 83.145667ms
2025-02-11T08:13:35.561119-05:00 - INFO - n_sampled = 261491, replacement = [Gate { wires: [0, 4, 2], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 5 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 9], control_func: 12 }], time = 71.72675ms
2025-02-11T08:13:35.562912-05:00 - INFO - n_sampled = 7452, replacement = [Gate { wires: [0, 2, 5], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 14 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [5, 3, 7], control_func: 15 }], time = 1.785542ms
2025-02-11T08:13:35.660949-05:00 - INFO - n_sampled = 375012, replacement = [Gate { wires: [3, 4, 0], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [0, 2, 1], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 5 }], time = 98.02675ms
2025-02-11T08:13:35.697473-05:00 - INFO - n_sampled = 146436, replacement = [Gate { wires: [0, 1, 2], control_func: 8 }, Gate { wires: [0, 4, 1], control_func: 5 }, Gate { wires: [0, 6, 9], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 36.480167ms
2025-02-11T08:13:35.830247-05:00 - INFO - n_sampled = 489635, replacement = [Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 0, 7], control_func: 12 }, Gate { wires: [1, 0, 7], control_func: 15 }], time = 132.763083ms
2025-02-11T08:13:35.857141-05:00 - INFO - n_sampled = 92033, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [8, 0, 10], control_func: 15 }, Gate { wires: [4, 0, 2], control_func: 15 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 26.820959ms
2025-02-11T08:13:35.932431-05:00 - INFO - n_sampled = 252037, replacement = [Gate { wires: [0, 5, 2], control_func: 15 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [3, 0, 1], control_func: 0 }], time = 75.281916ms
2025-02-11T08:13:35.960103-05:00 - INFO - n_sampled = 95655, replacement = [Gate { wires: [1, 10, 0], control_func: 15 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [2, 3, 0], control_func: 15 }], time = 27.663333ms
