2025-02-11T08:12:31.580486-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:12:44.837072-05:00 - INFO - n_sampled = 2466840, replacement = [Gate { wires: [0, 5, 8], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 4, 0], control_func: 12 }, Gate { wires: [3, 0, 4], control_func: 3 }], time = 658.127208ms
2025-02-11T08:12:44.890947-05:00 - INFO - n_sampled = 209425, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [2, 0, 6], control_func: 6 }, Gate { wires: [2, 6, 0], control_func: 6 }], time = 53.807583ms
2025-02-11T08:12:45.013946-05:00 - INFO - n_sampled = 469106, replacement = [Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 6, 0], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [0, 2, 9], control_func: 0 }], time = 122.987042ms
2025-02-11T08:12:45.032253-05:00 - INFO - n_sampled = 79211, replacement = [Gate { wires: [3, 2, 0], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [0, 3, 6], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 6 }], time = 18.294708ms
2025-02-11T08:12:45.645006-05:00 - INFO - n_sampled = 2307925, replacement = [Gate { wires: [4, 3, 10], control_func: 0 }, Gate { wires: [4, 3, 9], control_func: 0 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 612.732459ms
2025-02-11T08:12:45.845971-05:00 - INFO - n_sampled = 752867, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 8 }, Gate { wires: [3, 0, 8], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 14 }], time = 200.93875ms
2025-02-11T08:12:46.762227-05:00 - INFO - n_sampled = 3435855, replacement = [Gate { wires: [0, 2, 4], control_func: 12 }, Gate { wires: [0, 2, 7], control_func: 12 }, Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 916.195958ms
2025-02-11T08:12:46.765474-05:00 - INFO - n_sampled = 3799, replacement = [Gate { wires: [0, 2, 1], control_func: 7 }, Gate { wires: [0, 1, 3], control_func: 3 }, Gate { wires: [3, 4, 5], control_func: 3 }, Gate { wires: [3, 0, 7], control_func: 12 }], time = 3.205042ms
2025-02-11T08:12:46.959153-05:00 - INFO - n_sampled = 721259, replacement = [Gate { wires: [0, 1, 4], control_func: 12 }, Gate { wires: [0, 2, 1], control_func: 7 }, Gate { wires: [0, 8, 2], control_func: 0 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 193.669125ms
2025-02-11T08:12:47.340511-05:00 - INFO - n_sampled = 1439036, replacement = [Gate { wires: [0, 1, 2], control_func: 1 }, Gate { wires: [0, 3, 9], control_func: 12 }, Gate { wires: [0, 3, 2], control_func: 9 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 381.302375ms
