2025-02-11T08:14:29.141155-05:00 - INFO - input circuit = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }]
2025-02-11T08:14:40.309874-05:00 - INFO - n_sampled = 82200, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [4, 1, 9], control_func: 5 }, Gate { wires: [4, 9, 5], control_func: 3 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 67.448709ms
2025-02-11T08:14:40.606209-05:00 - INFO - n_sampled = 1009062, replacement = [Gate { wires: [0, 2, 1], control_func: 14 }, Gate { wires: [0, 8, 2], control_func: 0 }, Gate { wires: [0, 5, 2], control_func: 5 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 296.28275ms
2025-02-11T08:14:40.649303-05:00 - INFO - n_sampled = 132114, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [3, 0, 4], control_func: 9 }, Gate { wires: [5, 1, 0], control_func: 5 }, Gate { wires: [5, 4, 0], control_func: 5 }], time = 43.020167ms
2025-02-11T08:14:41.675775-05:00 - INFO - n_sampled = 3352201, replacement = [Gate { wires: [0, 3, 1], control_func: 5 }, Gate { wires: [0, 1, 2], control_func: 7 }, Gate { wires: [3, 0, 4], control_func: 3 }, Gate { wires: [3, 6, 4], control_func: 10 }], time = 1.026424333s
2025-02-11T08:14:41.875958-05:00 - INFO - n_sampled = 646126, replacement = [Gate { wires: [0, 4, 2], control_func: 1 }, Gate { wires: [0, 4, 2], control_func: 1 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [3, 4, 0], control_func: 9 }], time = 200.027458ms
2025-02-11T08:14:41.980989-05:00 - INFO - n_sampled = 348347, replacement = [Gate { wires: [0, 1, 2], control_func: 10 }, Gate { wires: [0, 2, 1], control_func: 2 }, Gate { wires: [0, 2, 9], control_func: 12 }, Gate { wires: [3, 0, 4], control_func: 9 }], time = 104.987ms
2025-02-11T08:14:42.193613-05:00 - INFO - n_sampled = 714260, replacement = [Gate { wires: [0, 10, 4], control_func: 5 }, Gate { wires: [0, 1, 2], control_func: 11 }, Gate { wires: [3, 0, 1], control_func: 3 }, Gate { wires: [0, 4, 8], control_func: 12 }], time = 212.57475ms
2025-02-11T08:14:42.193856-05:00 - INFO - n_sampled = 611, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [10, 4, 0], control_func: 4 }, Gate { wires: [3, 4, 0], control_func: 9 }, Gate { wires: [10, 4, 0], control_func: 4 }], time = 203.042µs
2025-02-11T08:14:42.301288-05:00 - INFO - n_sampled = 378689, replacement = [Gate { wires: [0, 1, 2], control_func: 4 }, Gate { wires: [0, 4, 2], control_func: 0 }, Gate { wires: [3, 0, 4], control_func: 6 }, Gate { wires: [0, 1, 10], control_func: 0 }], time = 107.41425ms
2025-02-11T08:14:42.623849-05:00 - INFO - n_sampled = 1155185, replacement = [Gate { wires: [3, 4, 0], control_func: 3 }, Gate { wires: [0, 1, 8], control_func: 0 }, Gate { wires: [0, 2, 1], control_func: 13 }, Gate { wires: [3, 1, 0], control_func: 10 }], time = 322.50725ms
